timestamp,lcp_ms,tbt_ms,tti_ms,cls,fcp_ms
2025-10-31T19:00:03.638Z,1727,0,1727,0.0000,685
2025-11-01T05:12:10.268Z,921,0,921,0.0000,685
2025-11-01T05:16:23.742Z,1730,0,1730,0.0000,685
2025-11-01T09:57:22.084Z,964,0,964,0.0000,688
2025-11-01T11:19:34.746Z,916,0,916,0.0000,682
2025-11-01T11:44:23.585Z,1728,0,1728,0.0000,685
2025-11-01T15:00:09.142Z,900,0,1003,0.0000,683
2025-11-01T15:41:52.840Z,1013,0,1053,0.0000,686
2025-11-01T20:41:46.828Z,918,0,918,0.0000,691
2025-11-02T05:44:25.852Z,1693,0,1693,0.0000,687
2025-11-02T05:59:12.658Z,1683,0,1683,0.0000,684
2025-11-02T06:33:44.668Z,1652,0,1652,0.0000,685
2025-11-02T06:44:57.294Z,1653,0,1653,0.0000,687
2025-11-02T08:19:28.682Z,1693,0,1693,0.0000,685
2025-11-02T11:35:07.094Z,1689,0,1689,0.0000,685
2025-11-02T12:18:37.026Z,1647,0,1647,0.0000,687
2025-11-02T13:21:17.130Z,1850,0,1850,0.0000,684
2025-11-02T13:44:01.241Z,1849,0,1849,0.0000,695
2025-11-02T13:48:44.560Z,1853,0,1853,0.0000,686
2025-11-02T14:14:54.471Z,1847,0,1847,0.0000,683
2025-11-02T14:33:41.028Z,1853,0,1853,0.0000,687
2025-11-02T14:39:49.173Z,1779,0,1779,0.0000,689
2025-11-02T14:56:48.354Z,1814,0,1814,0.0000,688
2025-11-02T16:29:26.061Z,1618,0,1618,0.0000,691
